Golf Swing Raw Accelerometer Data (@ 800Hz)
Sample Count: 107063

SensorTime,RawAccelX,RawAccelY,RawAccelZ,RawAccelMag
121669.9048,0.0479,-0.1359,-0.9818,0.9923
121669.9061,0.0478,-0.1324,-0.9809,0.9910
121669.9074,0.0475,-0.1324,-0.9838,0.9938
121669.9086,0.0482,-0.1354,-0.9850,0.9954
121669.9099,0.0487,-0.1334,-0.9865,0.9967
121669.9111,0.0472,-0.1317,-0.9868,0.9966
121669.9124,0.0458,-0.1328,-0.9856,0.9956
121669.9136,0.0458,-0.1326,-0.9860,0.9959
121669.9149,0.0471,-0.1341,-0.9854,0.9955
121669.9161,0.0440,-0.1371,-0.9864,0.9968
121669.9174,0.0447,-0.1386,-0.9874,0.9981
121669.9186,0.0405,-0.1404,-0.9859,0.9967
121669.9199,0.0451,-0.1379,-0.9853,0.9959
121669.9212,0.0446,-0.1411,-0.9905,1.0015
121669.9224,0.0440,-0.1417,-0.9892,1.0003
121669.9237,0.0440,-0.1371,-0.9868,0.9972
121669.9249,0.0427,-0.1408,-0.9875,0.9984
121669.9262,0.0432,-0.1410,-0.9889,0.9998
121669.9274,0.0458,-0.1430,-0.9932,1.0045
121669.9287,0.0467,-0.1432,-0.9910,1.0024
121669.9299,0.0453,-0.1430,-0.9904,1.0017
121669.9312,0.0460,-0.1440,-0.9892,1.0006
121669.9324,0.0492,-0.1412,-0.9907,1.0019
121669.9337,0.0470,-0.1414,-0.9896,1.0007
121669.9350,0.0485,-0.1425,-0.9897,1.0011
121669.9362,0.0491,-0.1433,-0.9865,0.9981
121669.9375,0.0487,-0.1434,-0.9877,0.9992
121669.9387,0.0498,-0.1452,-0.9854,0.9973
121669.9400,0.0499,-0.1452,-0.9865,0.9983
121669.9412,0.0458,-0.1506,-0.9845,0.9970
121669.9425,0.0489,-0.1498,-0.9845,0.9970
121669.9437,0.0456,-0.1528,-0.9802,0.9931
121669.9450,0.0480,-0.1538,-0.9813,0.9944
121669.9463,0.0468,-0.1565,-0.9796,0.9931
121669.9475,0.0475,-0.1601,-0.9814,0.9955
121669.9488,0.0482,-0.1578,-0.9774,0.9912
121669.9500,0.0451,-0.1578,-0.9817,0.9953
121669.9513,0.0464,-0.1569,-0.9810,0.9946
121669.9525,0.0428,-0.1576,-0.9783,0.9919
121669.9538,0.0449,-0.1573,-0.9844,0.9979
121669.9550,0.0440,-0.1554,-0.9812,0.9944
121669.9563,0.0428,-0.1546,-0.9782,0.9912
121669.9575,0.0417,-0.1543,-0.9801,0.9930
121669.9588,0.0403,-0.1586,-0.9810,0.9946
121669.9601,0.0395,-0.1607,-0.9795,0.9934
121669.9613,0.0348,-0.1599,-0.9833,0.9969
121669.9626,0.0341,-0.1600,-0.9812,0.9948
121669.9638,0.0395,-0.1601,-0.9843,0.9980
121669.9651,0.0384,-0.1593,-0.9845,0.9981
121669.9663,0.0400,-0.1534,-0.9850,0.9976
121669.9676,0.0403,-0.1537,-0.9827,0.9955
121669.9688,0.0390,-0.1476,-0.9852,0.9969
121669.9701,0.0401,-0.1438,-0.9870,0.9982
121669.9713,0.0410,-0.1387,-0.9830,0.9936
121669.9726,0.0426,-0.1346,-0.9860,0.9960
121669.9739,0.0434,-0.1323,-0.9884,0.9981
121669.9751,0.0401,-0.1310,-0.9866,0.9961
121669.9764,0.0434,-0.1255,-0.9854,0.9943
121669.9776,0.0441,-0.1269,-0.9877,0.9968
121669.9789,0.0453,-0.1264,-0.9876,0.9967
121669.9801,0.0457,-0.1272,-0.9873,0.9965
121669.9814,0.0480,-0.1246,-0.9900,0.9989
121669.9826,0.0483,-0.1277,-0.9864,0.9958
121669.9839,0.0479,-0.1233,-0.9906,0.9993
121669.9852,0.0472,-0.1220,-0.9843,0.9930
121669.9864,0.0526,-0.1229,-0.9906,0.9996
121669.9877,0.0516,-0.1220,-0.9907,0.9995
121669.9889,0.0531,-0.1230,-0.9848,0.9939
121669.9902,0.0504,-0.1284,-0.9883,0.9979
121669.9914,0.0518,-0.1260,-0.9868,0.9961
